n_layers_2.0,n_layers_2.0.1,n_layers_1.0,n_layers_2.0.2,n_layers_3.0,n_layers_1.0.1,n_layers_2.0.3,n_layers_3.0.1,n_layers_4.0
2.1243284606933592,2.09135482788086,2.11055908203125,2.114952545166016,2.278779296875,2.080376434326172,2.14090560913086,2.383298187255859,2.5213873291015627
2.0869206237792968,2.0764616394042967,2.102140045166016,2.102217559814453,2.281145782470704,2.0798602294921875,2.1278114318847656,2.375166778564453,2.4862315368652346
2.095751647949218,2.088085174560547,2.0862828063964844,2.085121154785156,2.255443420410156,2.067089385986328,2.13963134765625,2.351378936767578,2.4759849548339843
2.058979187011719,2.066546173095704,2.096331787109375,2.0915040588378906,2.2444081115722656,2.090001831054688,2.1209423828125,2.3291473388671875,2.494188232421875
2.056710357666016,2.0498005676269533,2.0751162719726564,2.0777850341796875,2.262277069091797,2.0673016357421874,2.1420359802246094,2.328336029052734,2.5045841979980468
2.0887652587890626,2.0772496032714844,2.066792449951172,2.0731817626953126,2.246052703857422,2.057376251220703,2.11144287109375,2.3200782775878905,2.4602027893066407
2.0294122314453125,2.068437347412109,2.0725892639160155,2.0536656188964844,2.2262159729003907,2.06433334350586,2.100946502685547,2.304784393310547,2.460173797607422
2.0328213500976564,2.0640467834472656,2.0525750732421875,2.0456857299804687,2.2203079223632813,2.0559310913085938,2.093583221435547,2.328463134765625,2.4655799865722656
2.031313934326172,2.0407086181640626,2.0513824462890624,2.028764953613281,2.203165283203125,2.042352752685547,2.085229797363281,2.3103253173828127,2.448123779296875
2.034335784912109,2.0456271362304688,2.0341535949707032,2.004825592041016,2.204750823974609,2.023998565673828,2.06816650390625,2.2962274169921875,2.4376458740234375
2.025167694091797,2.0425869750976564,2.0450039672851563,2.0156781005859377,2.186158142089844,2.0394245910644533,2.045166473388672,2.2931230163574217,2.434004669189453
2.02333251953125,2.023761901855469,2.045374603271485,1.9923855590820312,2.179151916503906,2.026938934326172,2.0636463928222657,2.269169921875,2.3876438903808594
2.018220977783203,2.017958679199219,2.018716735839844,2.033726806640625,2.175692443847656,2.0248484802246094,2.0600680541992187,2.275386199951172,2.41020263671875
2.001217803955078,2.024820251464844,2.011862487792969,2.001405944824219,2.186126556396484,2.024485321044922,2.026186828613281,2.2375148010253905,2.383932800292969
2.002361145019531,2.006950988769532,2.007706298828125,1.9948731994628903,2.1714491271972656,2.004567413330078,2.037105407714844,2.230932312011719,2.3883448791503907
2.010190277099609,2.007474670410156,1.9954864501953125,1.980770263671875,2.15075439453125,2.003291320800781,2.043203125,2.248767547607422,2.3658908081054686
1.9897512817382808,2.006539306640625,2.004415740966797,1.981879425048828,2.141254730224609,1.9837429809570315,2.017741851806641,2.2521676635742187,2.3741639709472655
1.9878672790527343,1.999560546875,2.001889495849609,1.9730409240722653,2.1487881469726564,1.9744894409179687,1.9981857299804688,2.253563995361328,2.3490765380859373
2.0015658569335937,1.984676818847656,2.006413269042969,1.9693504333496088,2.1402682495117187,1.9821939086914064,2.0106266784667968,2.230835723876953,2.3556121826171874
1.9628707885742187,1.9700617980957031,1.9953298950195315,1.958643035888672,2.1064602661132814,1.9694325256347656,2.021392974853516,2.2392274475097658,2.3461430358886717
1.9611578369140623,1.9749635314941407,1.989054565429688,1.9505403137207031,2.1028060913085938,1.9646380615234376,1.991392517089844,2.207417297363281,2.3274803161621094
1.966812896728516,1.9377589416503904,1.9680120849609373,1.954244537353516,2.099512634277344,1.9639634704589843,1.9957286071777345,2.212300720214844,2.321517333984375
1.962666931152344,1.967121124267578,1.9767167663574217,1.933296813964844,2.0665242004394533,1.9777619934082031,1.986709747314453,2.1851995849609374,2.309426574707031
1.9498806762695315,1.9831248474121093,1.949185485839844,1.9184283447265624,2.095963745117188,1.959824371337891,1.970891571044922,2.192407989501953,2.3032215881347655
1.9584678649902345,1.963049774169921,1.948922119140625,1.906934814453125,2.082580108642578,1.9470574951171875,1.9670736694335933,2.1775082397460936,2.312510528564453
