learning_rate_0.005,learning_rate_0.01,learning_rate_0.05,learning_rate_0.1
1.8779360961914064,1.6890850830078126,2.172865447998047,2.3204237365722657
1.864756317138672,1.7115431213378909,2.165529479980469,2.308167724609375
1.858169708251953,1.707073059082031,2.199185028076172,2.3326431274414063
1.8547451782226565,1.70265869140625,2.1781625366210937,2.3237974548339846
1.8749496459960937,1.713936767578125,2.120121612548828,2.3146238708496094
1.8541336059570312,1.6953477478027343,2.134711303710937,2.3083317565917967
1.856280517578125,1.716243896484375,2.174021911621094,2.3264974975585937
1.8452967834472656,1.658340606689453,2.131837158203125,2.3363873291015627
1.8213682556152344,1.6887590026855468,2.1520980834960937,2.3069439697265626
1.854993591308593,1.6499749755859374,2.160000305175781,2.3140460205078126
1.8593043518066408,1.6993739318847656,2.141533660888672,2.3201107788085937
1.838912048339844,1.678038330078125,2.1290235900878907,2.3243144226074217
1.8018533325195312,1.6925260925292969,2.154799041748047,2.313204498291016
1.8554898071289063,1.7000962829589843,2.1290293884277345,2.3105418395996096
1.809922637939453,1.6784739685058594,2.1302218627929688,2.328601531982422
1.808524932861328,1.6601962280273437,2.1426885986328124,2.3191297912597655
1.8028948974609376,1.6787942504882811,2.147865447998047,2.283294677734375
1.8089787292480468,1.666686706542969,2.118044891357422,2.28191650390625
1.803583831787109,1.677892303466797,2.133176879882813,2.330332946777344
1.8173910522460937,1.642414245605469,2.1187393188476564,2.301009063720703
1.816176605224609,1.6758116149902345,2.09368392944336,2.298578643798828
1.7933642578125,1.6554881286621097,2.12504150390625,2.2953195190429687
1.7930723571777345,1.6743800354003906,2.106032257080078,2.289434814453125
1.7625129699707032,1.653567352294922,2.098246002197265,2.2849261474609377
1.7810508728027343,1.6469387817382812,2.0945704650878905,2.263644561767578
1.8031539916992188,1.6589093017578125,2.1347592163085936,2.2803172302246093
1.759521026611328,1.6745556640625,2.0880085754394533,2.2590403747558594
1.774498291015625,1.6558641052246097,2.115382080078125,2.2836717224121093
1.7689678955078123,1.6757373046875,2.1084230041503904,2.297470703125
1.7664997863769532,1.6594725036621094,2.1120816040039063,2.2937220764160156
1.784593505859375,1.6387562561035156,2.121645965576172,2.29920166015625
1.757459716796875,1.662384033203125,2.101002807617188,2.271240692138672
1.76491943359375,1.6565635681152344,2.076499328613281,2.2820550537109376
1.787329864501953,1.6308897399902345,2.0920143127441406,2.3320372009277346
1.7520817565917968,1.6260511779785156,2.097170104980469,2.2921136474609374
1.7620008850097657,1.6434945678710935,2.096223297119141,2.274275054931641
1.772352752685547,1.6370765686035156,2.0863006591796878,2.285993194580078
1.732633819580078,1.640182647705078,2.080020751953125,2.2873605346679686
1.776374053955078,1.634585418701172,2.092316284179688,2.2626187133789064
1.7446066284179689,1.6325355529785155,2.093201904296875,2.2794418334960938
1.7482435607910156,1.6137142944335938,2.066738739013672,2.274445343017578
1.7500650024414062,1.656785125732422,2.0792227172851563,2.2843902587890623
1.7408552551269532,1.628843994140625,2.10383544921875,2.279278564453125
1.7374862670898437,1.6280393981933594,2.063912506103516,2.2745014953613283
1.7369708251953124,1.6009623718261718,2.099880828857422,2.2773007202148436
1.7164830017089845,1.6119081115722655,2.0884909057617187,2.251047821044922
1.736726531982422,1.6157760620117188,2.0829086303710938,2.292796173095703
1.7416119384765625,1.6274031066894532,2.0980909729003905,2.2871754455566404
1.7394210815429687,1.649779052734375,2.088209838867188,2.2652316284179688
1.7388531494140624,1.6493832397460937,2.1041329956054686,2.295006103515625
1.7347810363769531,1.594994964599609,2.071808166503906,2.265289611816406
1.70457763671875,1.6233229064941406,2.070654296875,2.277436065673828
1.7385038757324218,1.607596893310547,2.064161834716797,2.2540380859375
1.7195860290527345,1.6356288146972655,2.045808258056641,2.2595318603515624
1.7395318603515626,1.615198211669922,2.082213745117188,2.2772862243652345
1.7221771240234376,1.6388780212402343,2.0693630981445312,2.271776123046875
1.693914031982422,1.610944061279297,2.065458221435547,2.28924072265625
1.7102543640136718,1.6016221618652344,2.0540478515625,2.2865751647949217
1.689801483154297,1.6015896606445312,2.065380859375,2.265152893066406
1.684340362548828,1.638686065673828,2.058890533447266,2.2771449279785156
1.7055241394042968,1.6059445190429686,2.0963504028320314,2.2412373352050783
1.6922425842285156,1.5916177368164062,2.038638000488281,2.2514390563964843
1.7124813842773436,1.6009892272949218,2.0971177673339843,2.269076232910156
1.7006498718261718,1.6288569641113282,2.097300567626953,2.2405145263671873
1.6767265319824218,1.6155026245117188,2.072733917236328,2.2625138854980467
1.6852816772460937,1.6080299377441407,2.075630187988281,2.282635040283203
1.7033003234863282,1.6369554138183593,2.083252563476562,2.270949401855469
1.696425018310547,1.5747483825683597,2.064644317626953,2.2724870300292968
1.6589614868164062,1.5928759765625,2.078144378662109,2.2636752319335938
1.680081481933594,1.5903855895996093,2.0580577087402343,2.2499603271484374
1.6736639404296876,1.5875820922851562,2.0765200805664064,2.253585205078125
1.6692927551269532,1.567077331542969,2.0640948486328123,2.2346083068847657
1.6971333312988282,1.5860385131835937,2.0231817626953124,2.2533897399902343
1.682231903076172,1.60489013671875,2.038060455322265,2.2508587646484375
1.6742044067382813,1.610528564453125,2.0814503479003905,2.2412893676757815
1.6579580688476565,1.5872158813476562,2.0414997863769533,2.2814979553222656
